구분,죄종,발생검거,건수,자치구
중부,살인,발생,2,중구
중부,살인,검거,2,중구
중부,강도,발생,1,중구
중부,강도,검거,1,중구
중부,"강간,추행",발생,139,중구
중부,"강간,추행",검거,94,중구
중부,절도,발생,917,중구
중부,절도,검거,514,중구
중부,폭력,발생,1032,중구
중부,폭력,검거,931,중구
종로,살인,발생,5,종로구
종로,살인,검거,4,종로구
종로,강도,발생,5,종로구
종로,강도,검거,4,종로구
종로,"강간,추행",발생,145,종로구
종로,"강간,추행",검거,113,종로구
종로,절도,발생,607,종로구
종로,절도,검거,307,종로구
종로,폭력,발생,892,종로구
종로,폭력,검거,732,종로구
남대문,살인,발생,1,중구
남대문,살인,검거,1,중구
남대문,강도,발생,5,중구
남대문,강도,검거,4,중구
남대문,"강간,추행",발생,73,중구
남대문,"강간,추행",검거,50,중구
남대문,절도,발생,603,중구
남대문,절도,검거,350,중구
남대문,폭력,발생,575,중구
남대문,폭력,검거,518,중구
서대문,살인,발생,5,서대문구
서대문,살인,검거,5,서대문구
서대문,강도,발생,0,서대문구
서대문,강도,검거,2,서대문구
서대문,"강간,추행",발생,160,서대문구
서대문,"강간,추행",검거,132,서대문구
서대문,절도,발생,1194,서대문구
서대문,절도,검거,668,서대문구
서대문,폭력,발생,1026,서대문구
서대문,폭력,검거,834,서대문구
혜화,살인,발생,0,종로구
혜화,살인,검거,0,종로구
혜화,강도,발생,0,종로구
혜화,강도,검거,0,종로구
혜화,"강간,추행",발생,94,종로구
혜화,"강간,추행",검거,59,종로구
혜화,절도,발생,562,종로구
혜화,절도,검거,311,종로구
혜화,폭력,발생,671,종로구
혜화,폭력,검거,551,종로구
용산,살인,발생,3,용산구
용산,살인,검거,4,용산구
용산,강도,발생,3,용산구
용산,강도,검거,3,용산구
용산,"강간,추행",발생,245,용산구
용산,"강간,추행",검거,219,용산구
용산,절도,발생,978,용산구
용산,절도,검거,561,용산구
용산,폭력,발생,1732,용산구
용산,폭력,검거,1481,용산구
성북,살인,발생,1,성북구
성북,살인,검거,1,성북구
성북,강도,발생,0,성북구
성북,강도,검거,0,성북구
성북,강간,발생,92,성북구
성북,강간,검거,66,성북구
성북,절도,발생,500,성북구
성북,절도,검거,309,성북구
성북,폭력,발생,662,성북구
성북,폭력,검거,596,성북구
동대문,살인,발생,5,동대문구
동대문,살인,검거,6,동대문구
동대문,강도,발생,4,동대문구
동대문,강도,검거,3,동대문구
동대문,"강간,추행",발생,146,동대문구
동대문,"강간,추행",검거,116,동대문구
동대문,절도,발생,1280,동대문구
동대문,절도,검거,847,동대문구
동대문,폭력,발생,1280,동대문구
동대문,폭력,검거,847,동대문구
마포,살인,발생,3,마포구
마포,살인,검거,1,마포구
마포,강도,발생,4,마포구
마포,강도,검거,4,마포구
마포,"강간,추행",발생,447,마포구
마포,"강간,추행",검거,339,마포구
마포,절도,발생,1472,마포구
마포,절도,검거,856,마포구
마포,폭력,발생,1908,마포구
마포,폭력,검거,1688,마포구
영등포,살인,발생,12,영등포구
영등포,살인,검거,12,영등포구
영등포,강도,발생,10,영등포구
영등포,강도,검거,10,영등포구
영등포,"강간,추행",발생,310,영등포구
영등포,"강간,추행",검거,217,영등포구
영등포,절도,발생,1854,영등포구
영등포,절도,검거,1192,영등포구
영등포,폭력,발생,2232,영등포구
영등포,폭력,검거,1956,영등포구
성동,살인,발생,2,성동구
성동,살인,검거,1,성동구
성동,강도,발생,2,성동구
성동,강도,검거,2,성동구
성동,"강간,추행",발생,119,성동구
성동,"강간,추행",검거,85,성동구
성동,절도,발생,893,성동구
성동,절도,검거,472,성동구
성동,폭력,발생,1007,성동구
성동,폭력,검거,851,성동구
동작,살인,발생,3,동작구
동작,살인,검거,2,동작구
동작,강도,발생,3,동작구
동작,강도,검거,4,동작구
동작,"강간,추행",발생,191,동작구
동작,"강간,추행",검거,107,동작구
동작,절도,발생,1183,동작구
동작,절도,검거,601,동작구
동작,폭력,발생,1262,동작구
동작,폭력,검거,1049,동작구
광진,살인,발생,2,광진구
광진,살인,검거,2,광진구
광진,강도,발생,5,광진구
광진,강도,검거,3,광진구
광진,"강간,추행",발생,238,광진구
광진,"강간,추행",검거,178,광진구
광진,절도,발생,1616,광진구
광진,절도,검거,830,광진구
광진,폭력,발생,1563,광진구
광진,폭력,검거,1320,광진구
서부,살인,발생,4,은평구
서부,살인,검거,4,은평구
서부,강도,발생,2,은평구
서부,강도,검거,1,은평구
서부,"강간,추행",발생,56,은평구
서부,"강간,추행",검거,43,은평구
서부,절도,발생,790,은평구
서부,절도,검거,537,은평구
서부,폭력,발생,919,은평구
서부,폭력,검거,811,은평구
강북,살인,발생,7,강북구
강북,살인,검거,7,강북구
강북,강도,발생,1,강북구
강북,강도,검거,1,강북구
강북,"강간,추행",발생,141,강북구
강북,"강간,추행",검거,102,강북구
강북,절도,발생,917,강북구
강북,절도,검거,730,강북구
강북,폭력,발생,1431,강북구
강북,폭력,검거,1302,강북구
금천,살인,발생,4,금천구
금천,살인,검거,3,금천구
금천,강도,발생,5,금천구
금천,강도,검거,4,금천구
금천,"강간,추행",발생,128,금천구
금천,"강간,추행",검거,95,금천구
금천,절도,발생,987,금천구
금천,절도,검거,629,금천구
금천,폭력,발생,1116,금천구
금천,폭력,검거,1022,금천구
중랑,살인,발생,6,중랑구
중랑,살인,검거,6,중랑구
중랑,강도,발생,2,중랑구
중랑,강도,검거,2,중랑구
중랑,"강간,추행",발생,169,중랑구
중랑,"강간,추행",검거,134,중랑구
중랑,절도,발생,1402,중랑구
중랑,절도,검거,786,중랑구
중랑,폭력,발생,1745,중랑구
중랑,폭력,검거,1546,중랑구
강남,살인,발생,9,강남구
강남,살인,검거,6,강남구
강남,강도,발생,10,강남구
강남,강도,검거,7,강남구
강남,"강간,추행",발생,489,강남구
강남,"강간,추행",검거,399,강남구
강남,절도,발생,1636,강남구
강남,절도,검거,696,강남구
강남,폭력,발생,2322,강남구
강남,폭력,검거,2034,강남구
관악,살인,발생,16,관악구
관악,살인,검거,17,관악구
관악,강도,발생,10,관악구
관악,강도,검거,10,관악구
관악,"강간,추행",발생,328,관악구
관악,"강간,추행",검거,268,관악구
관악,절도,발생,2013,관악구
관악,절도,검거,1166,관악구
관악,폭력,발생,2402,관악구
관악,폭력,검거,2035,관악구
강서,살인,발생,1,강서구
강서,살인,검거,2,강서구
강서,강도,발생,6,강서구
강서,강도,검거,4,강서구
강서,"강간,추행",발생,300,강서구
강서,"강간,추행",검거,225,강서구
강서,절도,발생,1794,강서구
강서,절도,검거,1243,강서구
강서,폭력,발생,2195,강서구
강서,폭력,검거,2070,강서구
강동,살인,발생,4,강동구
강동,살인,검거,6,강동구
강동,강도,발생,5,강동구
강동,강도,검거,4,강동구
강동,"강간,추행",발생,144,강동구
강동,"강간,추행",검거,122,강동구
강동,절도,발생,1676,강동구
강동,절도,검거,980,강동구
강동,폭력,발생,1569,강동구
강동,폭력,검거,1383,강동구
종암,살인,발생,0,성북구
종암,살인,검거,0,성북구
종암,강도,발생,1,성북구
종암,강도,검거,1,성북구
종암,강간,발생,49,성북구
종암,강간,검거,46,성북구
종암,절도,발생,484,성북구
종암,절도,검거,374,성북구
종암,폭력,발생,622,성북구
종암,폭력,검거,565,성북구
구로,살인,발생,12,구로구
구로,살인,검거,12,구로구
구로,강도,발생,7,구로구
구로,강도,검거,7,구로구
구로,"강간,추행",발생,194,구로구
구로,"강간,추행",검거,144,구로구
구로,절도,발생,1624,구로구
구로,절도,검거,849,구로구
구로,폭력,발생,1900,구로구
구로,폭력,검거,1620,구로구
서초,살인,발생,7,서초구
서초,살인,검거,8,서초구
서초,강도,발생,9,서초구
서초,강도,검거,5,서초구
서초,"강간,추행",발생,347,서초구
서초,"강간,추행",검거,261,서초구
서초,절도,발생,1644,서초구
서초,절도,검거,762,서초구
서초,폭력,발생,1790,서초구
서초,폭력,검거,1480,서초구
양천,살인,발생,6,양천구
양천,살인,검거,5,양천구
양천,강도,발생,2,양천구
양천,강도,검거,2,양천구
양천,강간,발생,113,양천구
양천,강간,검거,93,양천구
양천,절도,발생,2416,양천구
양천,절도,검거,1243,양천구
양천,폭력,발생,2483,양천구
양천,폭력,검거,2035,양천구
송파,살인,발생,8,송파구
송파,살인,검거,5,송파구
송파,강도,발생,9,송파구
송파,강도,검거,8,송파구
송파,"강간,추행",발생,307,송파구
송파,"강간,추행",검거,229,송파구
송파,절도,발생,2416,송파구
송파,절도,검거,1243,송파구
송파,폭력,발생,2483,송파구
송파,폭력,검거,2035,송파구
노원,살인,발생,7,노원구
노원,살인,검거,6,노원구
노원,강도,발생,3,노원구
노원,강도,검거,4,노원구
노원,"강간,추행",발생,159,노원구
노원,"강간,추행",검거,131,노원구
노원,절도,발생,1632,노원구
노원,절도,검거,845,노원구
노원,폭력,발생,1766,노원구
노원,폭력,검거,1621,노원구
